Inchi_key,Smiles
NQIDIIMAHJAXGD-UHFFFAOYSA-N,O=C(O)Cc1ccc(O)c(C(=O)O)c1
IVDFJHOHABJVEH-UHFFFAOYSA-N,CC(C)(O)C(C)(C)O
OIADDWVYJUDTDW-UHFFFAOYSA-N,CC1=NN2C(=O)CC(=O)N=C2S1
FCVQWDOQFWTHET-YFHOEESVSA-N,NC(=O)/C(=N\O)c1ccccc1
WGKWTPLXGGHZAR-UHFFFAOYSA-N,CC(C[PH](=O)C(C)N)C(=O)O
WYAUHKUSKIIGEI-UHFFFAOYSA-N,N#CSCC(=O)O
WDAATBIZVHOPMI-UHFFFAOYSA-N,COc1ccc(O)c(CCN)c1
JYSWEDYPQJOEPO-UHFFFAOYSA-N,Cc1cc(C)n(CC(=O)O)n1
JRHIBAUUJNOAAB-UHFFFAOYSA-N,Cc1cccnc1CC(O)C(=O)O
AAPGLCCSVSGLFH-UHFFFAOYSA-N,O=C1CCNC(=O)c2[nH]ccc21
INSWZAQOISIYDT-UHFFFAOYSA-N,c1cnc2nccn2c1
BFOLTCOQDQOJOY-UHFFFAOYSA-N,CCCNCP(=O)(O)CN
UJBOAPQQVIKFHR-UHFFFAOYSA-N,CC(C)C(=O)CP(=O)(O)O
TYFNBAWXKVCFMT-UHFFFAOYSA-N,NCC(O)c1ccc(O)c(F)c1
LLXJPNQWAGNDDN-UHFFFAOYSA-N,Nc1ccc2c(c1)CNC(=O)C2
LNHURPJLTHSVMU-UHFFFAOYSA-N,ON=C1C=CC(=NO)C=C1
OLNZOLAKUZHHFC-WDSKDSINSA-N,CCOC(=O)N[C@H]1CC[C@@H]1N
AZQFNDSMVBYRQK-UHFFFAOYSA-N,CN(N)CC(O)c1ccccc1
UNDFYAIFIIFDIC-ZETCQYMHSA-N,CC(C)C[C@@H]1NCCNC1=O
SRHWTZAMPFLHAX-IZZDOVSWSA-N,C/C(=N\NC(N)=S)c1ccncc1
JQBCKRZQAMELAD-UHFFFAOYSA-N,O=C1CCCN1O
LPJCMSSFNLGRJD-UHFFFAOYSA-N,CC(C)SCCNCCN
DFEMJYIRAXUQQB-UHFFFAOYSA-N,CCC1CCOC1=O
KFORAYOQBPRFHN-UHFFFAOYSA-N,CCc1cc(CN)c(O)c(CN)c1
MFIALBVUWLNEGU-UHFFFAOYSA-N,O=c1[nH]c2cnccc2cc1O
PFTRYAJJOLIQIG-UHFFFAOYSA-N,CC(NO)C(C)(C)NO
ZAJAQTYSTDTMCU-UHFFFAOYSA-N,Nc1cccc(S(=O)(=O)O)c1
IIGUXNQRQSATOU-UHFFFAOYSA-N,CCOC(=O)CN(C)N=O
HIBIJRSNVYGSBA-UHFFFAOYSA-N,N#Cc1ncn2ccc(=O)[nH]c12
RDFMDVXONNIGBC-LURJTMIESA-N,CCCCC[C@H](N)C(=O)O
GUCPYIYFQVTFSI-UHFFFAOYSA-N,COc1ccc(C(N)=O)cc1
FEPALPYILGLEJX-UHFFFAOYSA-N,CC(Oc1ccccc1F)C(=O)NN
JUVSRZCUMWZBFK-UHFFFAOYSA-N,Cc1ccc(N(CCO)CCO)cc1
MQVYDIFXDZQMRX-UHFFFAOYSA-N,Cc1nonc1CN(C)C
QSTZQJMQOOWRNP-UHFFFAOYSA-N,COC(=O)c1cc[n+](C)cc1
TUGSJNQAIMFEDY-UHFFFAOYSA-N,COC(=O)c1ccc(C(=O)OC)nc1
TXRCHGMTTXKTPE-NTSWFWBYSA-N,CCC[C@@H](O)[C@H](C)N
VJYCHPGHOKIDDH-UHFFFAOYSA-N,Nc1nc(CCC(=O)O)cs1
YLVVAWCDANPADI-UHFFFAOYSA-N,O=C1CN2Cc3ccccc3N=C2N1
JYJGRWODSHEFGY-UHFFFAOYSA-N,BrC1NC=CN1
CFMZSMGAMPBRBE-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)N1O
BAEFCXUMOHTMRJ-UHFFFAOYSA-N,CC12C3C4C1C1C2C3C41CO
CBOPDFIRBQHXIG-LUAWRHEFSA-N,CO/N=C(/C#N)C1=CCCN(C)C1
HFLDFQPTMPEWII-UHFFFAOYSA-N,CC(C)c1noc(C2CN=CNC2)n1
YALMGFWDBZZMMB-UHFFFAOYSA-N,CN(C)CCCNCCC#N
PYEQXZOIQJWYAH-UHFFFAOYSA-N,O=C1C=CC(=O)C(Br)=C1
PERFWRNKWQXMCO-UHFFFAOYSA-N,CC(C)n1cc2c(N)ncnc2n1
KHEBQHMBQSIODT-UHFFFAOYSA-N,CNc1nccn2ccnc12
YAUZNKLMKRQDAM-UHFFFAOYSA-O,CNC(=O)OCC[N+](C)(C)C
RXBROZSQDAUFHD-UHFFFAOYSA-N,CC12C(=O)OC(=O)C1(C)C1C=CC2O1
NIHBOFIECFLYQB-UHFFFAOYSA-N,CC1CCN(CCCN=C(N)N)CC1
JUVQJNOEIVXUFQ-UHFFFAOYSA-N,Cc1nnc(NC2=NCCC2)o1
MLAOOSRHRBRHIZ-UHFFFAOYSA-N,Cn1ccc(=O)c(O)c1F
NRUOPZCNSMPDPG-YFKPBYRVSA-N,C[C@H](N)C(=S)N1CCSC1
ABSNGNUGFQIDDO-UHFFFAOYSA-N,N=C(N)NCc1ccccc1
GWZMWHWAWHPNHN-UHFFFAOYSA-N,C=CC(=O)OCC(C)O
HPKKEDGOBIXMHS-UHFFFAOYSA-N,COc1cccc(CC(N)=O)c1
KSBBJKNYPGSRAM-UHFFFAOYSA-N,CC(=O)Nc1nnc2n1CCS2
WPUARJMRQQUYAY-UHFFFAOYSA-N,COCC1Cn2cc([N+](=O)[O-])nc2O1
KLYVTOHAEIIQEP-UHFFFAOYSA-N,CC(C)(CO)SC1CC(=O)N1
DQLYTFPAEVJTFM-ZETCQYMHSA-N,N[C@H](C(=O)O)c1cccc(O)c1
WADZRHBGMFVDKY-UHFFFAOYSA-N,COC(=O)Nc1ccncc1N
YQGNRERLSAOKJL-UHFFFAOYSA-N,CCOC(=O)CC(=O)Nc1cc[nH]n1
GUOVBFFLXKJFEE-UHFFFAOYSA-N,O=C(O)c1ccc2[nH]nnc2c1
NSTPXGARCQOSAU-UHFFFAOYSA-N,O=CNC(Cc1ccccc1)C(=O)O
FJNCPBNCTRDXFB-UHFFFAOYSA-N,CCCCN(N=O)C(=N)N[N+](=O)[O-]
JUTHHQRVOOOAQP-RNFRBKRXSA-N,O=C1COC[C@H]2OCCC[C@H]2O1
ZLPVUISIXREHMY-NSCUHMNNSA-N,C/C=C/OC(=O)C1CN=CNC1
GOVNVPJYMDJYSR-UHFFFAOYSA-N,CC(=O)OCCCC(=O)O
KVSRWNPBUMDYOQ-RITPCOANSA-N,COC(=O)[C@@H]1[C@@H](C=O)C1(C)C
FTBBGQKRYUTLMP-UHFFFAOYSA-N,O=[N+]([O-])c1ccc[nH]1
SNQQJEJPJMXYTR-UHFFFAOYSA-N,COC(=O)c1cccc(C(=O)OC)n1
XJFIKRXIJXAJGH-UHFFFAOYSA-N,O=c1[nH]c2ccc(Cl)nc2[nH]1
WXNXCEHXYPACJF-UHFFFAOYSA-N,CC(=O)NC(CC(C)C)C(=O)O
LPBZKHDAKWWKDV-UHFFFAOYSA-N,Cc1nc2sccn2c1C(=O)NN
DKSPRNJUDCWTID-UHFFFAOYSA-N,C1c2c(-c3nnn[nH]3)n[nH]c2C2CC12
FVCKLOGYXTZIAN-NSCUHMNNSA-N,C/C=C/C#COC(=O)C1CN=CNC1
ULDDTFAPYWLDGF-UHFFFAOYSA-N,CCCCN/C(N)=N/O
HKOOXMFOFWEVGF-UHFFFAOYSA-N,NNc1ccccc1
YBSZXIUKDXSGSC-UHFFFAOYSA-N,Cc1cc(C)[n+]2nc(C)n(C)c2n1
PQJZHMCWDKOPQG-UHFFFAOYSA-N,O=C(O)C(=O)Nc1ccccc1
QPLOLKZREQUJTC-UHFFFAOYSA-N,Cc1ncn2c(N(C)C)nncc12
LYHHOFKJUMPEBV-UHFFFAOYSA-N,Cc1cc(=O)[nH]c(C2CCCNC2)n1
NBGMCAGDMQPEBF-UHFFFAOYSA-N,Cc1nc2nc(N)nc(N)c2nc1C
VTMATBHAKYANPP-UHFFFAOYSA-N,CN(C)CCCNC(=S)S
JHPVZICOKOUZCF-SNVBAGLBSA-N,CC(C)(C)[C@@]1(O)C[N+](C)(C)CCO1
JHTWYDHODRPLCW-RITPCOANSA-N,CC1=C[C@H](N)[C@H](C(=O)O)C1
JQCBHVKQBLOSBD-UHFFFAOYSA-N,N=C(N)Cc1cccc(C(=O)O)c1
RPYVIDQHSNAQAX-UHFFFAOYSA-N,C#CC1(O)CC(C)N(C)C(C)C1
GNUCLSFLDHLOBV-UHFFFAOYSA-N,NC(C(=O)O)C(O)c1cccs1
GXUAKXUIILGDKW-UHFFFAOYSA-N,COc1ccc(C(N)C(=O)O)cc1
MCWYKGGJUASALA-MROZADKFSA-N,C[C@@H](C(=O)O)[C@@H]1C[C@H]1N
QUXLCYFNVNNRBE-UHFFFAOYSA-N,Cc1cccc(N)n1
XIBUBTQSOGWALU-UHFFFAOYSA-N,CCCC1(CC)C(=O)NC(=O)NC1=O
RRJZGRCYRQRMEO-UHFFFAOYSA-N,CN(C)CCSS(=O)(=O)O
RTLDJXGEOSVJEX-UHFFFAOYSA-N,O=C(O)C(O)c1ccco1
JNCTYICYMGUAAK-UHFFFAOYSA-N,C#Cc1c(CO)cnc(C)c1O
CACLKPLCEQSUCF-UHFFFAOYSA-N,Cn1ncc2sc3nncn3c21
WICPORLNXBPBPR-UHFFFAOYSA-N,NC(=O)CCc1ccc(N)cc1
SGZFJWQQBHYNNF-UHFFFAOYSA-N,O=C1Nc2ccccc2C1O
ZSKDXMLMMQFHGW-JTQLQIEISA-N,OC[C@@H]1Cc2ccccc2CN1
VRIIGDREOCLUPJ-UHFFFAOYSA-N,CCOC(=O)NN1CC=CCC1
BNHMPHAWYKRSIF-UHFFFAOYSA-N,NC(CS)CCCCC(=O)O
OVPMVOVVCQTDEO-UHFFFAOYSA-N,CC(=O)C(=[N+]=[N-])C(=O)OC(C)(C)C#N
PTEMGJSNACOECE-UHFFFAOYSA-N,CC(=O)Nc1cc(NC(C)=O)ncn1
VQASKUSHBVDKGU-UHFFFAOYSA-N,CCC1(C)OC(=O)N(C)C1=O
OLNZOLAKUZHHFC-WDSKDSINSA-N,CCOC(=O)N[C@H]1CC[C@@H]1N
KTWYCDBFLVQSAE-UHFFFAOYSA-N,CC(=O)OCc1nnn2c1CCC2
CJQWLNNCQIHKHP-UHFFFAOYSA-N,CCOC(=O)CCS
QEESFGJMQBONPV-UHFFFAOYSA-N,C=C(NC(=O)C1CC1(C)C)C(=O)O
JASKMEUWYOXVFB-SSDOTTSWSA-N,NC[C@@H](CC(=O)O)Cc1ccco1
LTEPZFZSPZASKJ-UHFFFAOYSA-N,O=C(CCO)c1ccc(O)cc1
RHQDFWAXVIIEBN-UHFFFAOYSA-N,OCC(F)(F)F
